UniProtKB_AC,Ensembl_Protein
P0C7U3,ENSP00000442373
Q8N130,ENSP00000442397
Q53RY4,ENSP00000442400
Q9GZX6,ENSP00000442424
Q9H2W2,ENSP00000442439
Q13882,ENSP00000442460
A0A0A0MTJ9,ENSP00000442464
Q9NY37,ENSP00000442477
Q9UBI4,ENSP00000442478
Q3SXZ7,ENSP00000442515
Q9BXY8,ENSP00000442521
Q6PEZ8,ENSP00000442553
Q9UHN1,ENSP00000442563
Q96K58,ENSP00000442573
Q04118,ENSP00000442626
P36896,ENSP00000442656
P25105,ENSP00000442658
O75689,ENSP00000442682
Q6N075,ENSP00000442688
O43719,ENSP00000442699
Q8NGF4,ENSP00000442701
Q9ULL4,ENSP00000442736
Q9H0Q3,ENSP00000442756
Q9UHW5,ENSP00000442770
Q8TAP4,ENSP00000442786
Q6N021,ENSP00000442788
Q3B7T3,ENSP00000442793
Q14896,ENSP00000442795
O14921,ENSP00000442837
P04179,ENSP00000442920
O95996,ENSP00000442954
O43293,ENSP00000442973
Q13304,ENSP00000442982
P62805,ENSP00000443017
Q86WH2,ENSP00000443021
Q8N3Z6,ENSP00000443113
F5H5T6,ENSP00000443130
Q6P0A1,ENSP00000443133
Q8IWL8,ENSP00000443168
Q96DX4,ENSP00000443176
F5H5R8,ENSP00000443194
Q86YS7,ENSP00000443204
P61165,ENSP00000443216
F5H5P2,ENSP00000443246
Q9HBW0,ENSP00000443256
Q96K12,ENSP00000443291
Q5U5X8,ENSP00000443292
Q8NEK8,ENSP00000443410
Q6ZQW0,ENSP00000443432
P54687,ENSP00000443459
F5H5D3,ENSP00000443475
Q32MH5,ENSP00000443598
Q01970,ENSP00000443631
Q9H7T9,ENSP00000443647
Q8IV04,ENSP00000443654
Q9NYJ1,ENSP00000443795
Q9ULT6,ENSP00000443824
Q8TDD2,ENSP00000443827
F5H189,ENSP00000443900
Q9UK33,ENSP00000443957
P55263,ENSP00000443965
Q7Z5Q1,ENSP00000443985
Q9H7L9,ENSP00000443988
P49790,ENSP00000444029
Q5XG92,ENSP00000444052
Q6IFG1,ENSP00000444054
Q92617,ENSP00000444096
Q8NGA0,ENSP00000444134
Q9H9Y6,ENSP00000444136
Q9NYB5,ENSP00000444149
Q6NXE6,ENSP00000444156
A0A0A0MTM3,ENSP00000444198
O43581,ENSP00000444201
Q9Y5P3,ENSP00000444210
Q15198,ENSP00000444211
Q8WVP5,ENSP00000444215
B4DPQ0,ENSP00000444271
Q96FW1,ENSP00000444357
Q15758,ENSP00000444408
Q5SYB0,ENSP00000444411
Q14587,ENSP00000444412
Q6QNK2,ENSP00000444425
O43819,ENSP00000444433
Q9HB31,ENSP00000444503
O43790,ENSP00000444533
Q7L4S7,ENSP00000444537
Q9P0S9,ENSP00000444561
Q71RG4,ENSP00000444565
F5GZB4,ENSP00000444586
O75592,ENSP00000444596
Q8IW92,ENSP00000444628
Q9Y5A9,ENSP00000444660
P13637,ENSP00000444688
P59541,ENSP00000444736
F5H527,ENSP00000444743
Q9Y2P0,ENSP00000444747
P48775,ENSP00000444788
Q13451,ENSP00000444810
O75467,ENSP00000444812
F5H4X8,ENSP00000444839
G3V1S3,ENSP00000444889
Q86Y26,ENSP00000444896
Q15102,ENSP00000444935
Q5TA45,ENSP00000445001
Q6Q788,ENSP00000445002
Q5TBA9,ENSP00000445043
P26439,ENSP00000445122
Q9NX02,ENSP00000445135
Q13889,ENSP00000445162
A6NJB7,ENSP00000445247
Q96A99,ENSP00000445277
P05023,ENSP00000445306
Q8N695,ENSP00000445340
Q8IYX4,ENSP00000445366
O75747,ENSP00000445381
Q8NGC3,ENSP00000445383
Q15276,ENSP00000445408
Q86YD7,ENSP00000445418
Q16816,ENSP00000445440
O15466,ENSP00000445492
O95628,ENSP00000445508
Q96KK3,ENSP00000445595
Q9H765,ENSP00000445622
Q05215,ENSP00000445626
P62807,ENSP00000445633
P78395,ENSP00000445675
E5RJM6,ENSP00000445688
Q96K19,ENSP00000445725
A0A0C4DFX9,ENSP00000445757
A4D1U4,ENSP00000445768
Q9NPC1,ENSP00000445772
Q8N7L0,ENSP00000445786
Q3ZCQ8,ENSP00000445806
Q8N1S5,ENSP00000445829
Q5QNW6,ENSP00000445831
Q4VC05,ENSP00000445868
Q96CN4,ENSP00000445905
Q96EY8,ENSP00000445920
Q8TDB8,ENSP00000445929
O75123,ENSP00000445979
P08670,ENSP00000446007
Q9UBW8,ENSP00000446039
Q5H9J7,ENSP00000446054
Q96IW2,ENSP00000446058
Q9BSJ2,ENSP00000446093
Q96E39,ENSP00000446099
Q8IY22,ENSP00000446100
Q8IXR9,ENSP00000446101
Q5JTH9,ENSP00000446184
Q9BYE0,ENSP00000446205
P62826,ENSP00000446215
F6RGN5,ENSP00000446242
P04179,ENSP00000446252
Q8ND56,ENSP00000446271
Q8N967,ENSP00000446278
Q92824,ENSP00000446280
Q5T0B9,ENSP00000446335
Q5JQS6,ENSP00000446460
Q9BVA6,ENSP00000446479
Q8WW33,ENSP00000446485
Q99700,ENSP00000446576
O43248,ENSP00000446680
Q96HM7,ENSP00000446688
F8W031,ENSP00000446743
O95861,ENSP00000446828
Q8N4W6,ENSP00000446830
O43716,ENSP00000446872
Q9UIF9,ENSP00000446880
A0A0B4J2F6,ENSP00000446882
A0AAK2S2Q9,ENSP00000446902
Q8IYP2,ENSP00000446916
Q8NEU8,ENSP00000446917
P60660,ENSP00000446955
H0YHG0,ENSP00000447000
Q07020,ENSP00000447001
Q12860,ENSP00000447006
P51148,ENSP00000447053
F8W1H4,ENSP00000447056
Q8N5I9,ENSP00000447057
Q6J4K2,ENSP00000447091
Q6X4T0,ENSP00000447109
B4DL54,ENSP00000447121
Q96RI1,ENSP00000447149
Q3ZCN5,ENSP00000447211
Q8WU20,ENSP00000447241
P36897,ENSP00000447297
Q96QF0,ENSP00000447300
O43451,ENSP00000447378
O14910,ENSP00000447488
P78537,ENSP00000447537
F8W0I5,ENSP00000447597
F8W036,ENSP00000447650
Q49AM1,ENSP00000447651
C9JVW0,ENSP00000447679
P08962,ENSP00000447730
Q8NCL8,ENSP00000447731
F8VUJ3,ENSP00000447852
P86452,ENSP00000447879
C9JN71,ENSP00000447931
Q99471,ENSP00000447942
O15078,ENSP00000448012
E9PAV3,ENSP00000448035
Q2TBF2,ENSP00000448047
Q15038,ENSP00000448051
Q8NFH4,ENSP00000448054
P00439,ENSP00000448059
A6NI47,ENSP00000448062
O60669,ENSP00000448071
F8VU11,ENSP00000448073
Q9ULQ1,ENSP00000448083
O14727,ENSP00000448165
Q8TC07,ENSP00000448182
P59533,ENSP00000448219
P19013,ENSP00000448220
Q86XZ4,ENSP00000448228
Q4G1C9,ENSP00000448248
Q8NFU1,ENSP00000448310
Q92994,ENSP00000448387
Q9H2S9,ENSP00000448419
Q8TAD7,ENSP00000448536
Q8N5J4,ENSP00000448580
Q8IXM2,ENSP00000448598
P35638,ENSP00000448665
Q96K30,ENSP00000448680
Q8N9I9,ENSP00000448696
Q96LU7,ENSP00000448753
Q9H8H3,ENSP00000448785
A6NDL8,ENSP00000448811
F8WFD2,ENSP00000448841
Q86XJ1,ENSP00000448955
Q9HCS2,ENSP00000448998
B2RN74,ENSP00000449002
P62945,ENSP00000449026
Q12852,ENSP00000449038
Q96NR8,ENSP00000449079
O00429,ENSP00000449089
A6NJJ6,ENSP00000449137
Q99490,ENSP00000449241
Q96PR1,ENSP00000449253
P61923,ENSP00000449270
P05388,ENSP00000449328
Q8IW41,ENSP00000449381
Q15020,ENSP00000449386
F8VXC8,ENSP00000449396
P05787,ENSP00000449404
Q12792,ENSP00000449428
Q6P5S7,ENSP00000449500
Q9H6R3,ENSP00000449535
H0YIJ7,ENSP00000449544
Q7Z6G8,ENSP00000449629
Q99788,ENSP00000449716
Q9NYL4,ENSP00000449751
F8VX04,ENSP00000449756
H0YIN7,ENSP00000449770
Q8WUH6,ENSP00000449785
O43715,ENSP00000449795
Q9Y6G3,ENSP00000449884
Q9P1Z2,ENSP00000449960
Q9NY25,ENSP00000449999
Q86U10,ENSP00000450040
H0YIS7,ENSP00000450085
Q96F83,ENSP00000450114
O95294,ENSP00000450244
H0YIV9,ENSP00000450281
Q9NQS5,ENSP00000450310
O75334,ENSP00000450337
F8VP50,ENSP00000450353
P14649,ENSP00000450385
Q02252,ENSP00000450436
Q86WZ0,ENSP00000450444
Q96IS3,ENSP00000450456
Q96GE4,ENSP00000450461
O60312,ENSP00000450480
P30411,ENSP00000450482
A6NCE7,ENSP00000450524
Q9BPY8,ENSP00000450527
P01011,ENSP00000450540
A0A8J9AZZ3,ENSP00000450565
Q9Y6S9,ENSP00000450567
Q5GAN4,ENSP00000450580
Q6IPR1,ENSP00000450584
Q9UNS1,ENSP00000450607
Q9UEU0,ENSP00000450731
Q9HBF4,ENSP00000450742
G3V2M4,ENSP00000450749
O15037,ENSP00000450799
O43166,ENSP00000450832
Q3MIR4,ENSP00000450842
Q6S5H5,ENSP00000450853
G3V2T6,ENSP00000450856
Q8WXE9,ENSP00000450857
Q6IN85,ENSP00000450864
H0YJ60,ENSP00000450870
G3V2U7,ENSP00000450873
V9GXZ4,ENSP00000450895
Q9GZT3,ENSP00000450909
Q6ZVK1,ENSP00000450958
Q04743,ENSP00000450962
Q86T24,ENSP00000450969
Q9Y2K1,ENSP00000451000
P49758,ENSP00000451030
P49763,ENSP00000451040
P84090,ENSP00000451080
G3V3A4,ENSP00000451129
A0A0A6YYK5,ENSP00000451145
Q6ZU80,ENSP00000451162
P29622,ENSP00000451172
Q9P0R6,ENSP00000451188
G3V3E8,ENSP00000451206
Q8NHV4,ENSP00000451211
G3V3G0,ENSP00000451223
Q9Y385,ENSP00000451261
P80192,ENSP00000451263
P07910,ENSP00000451291
P49757,ENSP00000451300
Q8TAA1,ENSP00000451318
G3V3Q6,ENSP00000451369
O14756,ENSP00000451406
Q92813,ENSP00000451419
P56279,ENSP00000451506
A0A0B4J269,ENSP00000451560
Q96Q27,ENSP00000451575
Q99766,ENSP00000451583
Q96BY2,ENSP00000451594
Q01726,ENSP00000451605
Q9UN36,ENSP00000451712
G3V4G9,ENSP00000451792
P61011,ENSP00000451818
P31749,ENSP00000451828
P0DJ93,ENSP00000451866
Q9UD57,ENSP00000451945
O60831,ENSP00000451962
O43542,ENSP00000451974
G3V4T6,ENSP00000451976
Q05BV3,ENSP00000451998
Q86U28,ENSP00000452007
Q4LDG9,ENSP00000452037
G3V4Z9,ENSP00000452086
Q13683,ENSP00000452120
Q13243,ENSP00000452123
Q96B86,ENSP00000452126
A0A0A0MTQ4,ENSP00000452126
Q9H9C1,ENSP00000452181
P34096,ENSP00000452245
Q8NGP0,ENSP00000452277
Q8N8N7,ENSP00000452280
H0YJW9,ENSP00000452347
A6NLW8,ENSP00000452398
H0YJX3,ENSP00000452401
Q16825,ENSP00000452414
P52655,ENSP00000452454
Q92843,ENSP00000452479
Q147X3,ENSP00000452521
Q8WXH5,ENSP00000452522
Q9UPU9,ENSP00000452535
E7ENQ6,ENSP00000452549
Q9Y6Q3,ENSP00000452552
Q03169,ENSP00000452634
P67812,ENSP00000452697
O43586,ENSP00000452746
P13804,ENSP00000452762
H0YKD8,ENSP00000452763
Q9BV29,ENSP00000452773
P05106,ENSP00000452786
Q6ZNW5,ENSP00000452793
Q9H792,ENSP00000452796
Q04726,ENSP00000452871
Q92610,ENSP00000452877
Q8NBR6,ENSP00000452885
P49641,ENSP00000452948
Q6ZNA4,ENSP00000453015
H0YL14,ENSP00000453019
H0YL38,ENSP00000453045
Q14439,ENSP00000453076
H0YL77,ENSP00000453089
Q02078,ENSP00000453095
Q01415,ENSP00000453129
Q8IZY5,ENSP00000453153
Q86WT6,ENSP00000453177
Q8IUZ0,ENSP00000453273
Q99767,ENSP00000453293
P78325,ENSP00000453302
Q99687,ENSP00000453307
Q9H7F4,ENSP00000453399
Q9Y4G6,ENSP00000453508
H0YMD5,ENSP00000453562
Q8IUE1,ENSP00000453704
Q8IUE0,ENSP00000453750
O14770,ENSP00000453793
Q9GZS3,ENSP00000453801
Q93073,ENSP00000453854
Q9NQU5,ENSP00000453858
P0C221,ENSP00000453940
P0C7T8,ENSP00000453962
F5GYI3,ENSP00000454012
B4DS77,ENSP00000454014
A0A0A6YYL0,ENSP00000454021
H0YNJ6,ENSP00000454038
P54845,ENSP00000454062
P01130,ENSP00000454071
A6NC05,ENSP00000454153
Q13286,ENSP00000454229
Q9Y5A7,ENSP00000454264
H3BM74,ENSP00000454264
P59773,ENSP00000454268
Q2VPB7,ENSP00000454303
H3BMD7,ENSP00000454340
H3BMD8,ENSP00000454341
H3BMG3,ENSP00000454370
Q9BQD7,ENSP00000454380
H3BMH7,ENSP00000454386
Q8WVE7,ENSP00000454404
Q8N9W4,ENSP00000454407
H3BML4,ENSP00000454437
Q2WGJ8,ENSP00000454468
H3BMQ9,ENSP00000454500
Q8NDT2,ENSP00000454545
P0DMB2,ENSP00000454561
Q92874,ENSP00000454562
H3BN02,ENSP00000454623
Q9NVC3,ENSP00000454646
H3BN98,ENSP00000454746
B4E2M5,ENSP00000454770
H3BNC9,ENSP00000454786
P42127,ENSP00000454804
Q12788,ENSP00000454836
O95149,ENSP00000454852
H3BNL1,ENSP00000454903
H3BNL8,ENSP00000454913
Q9ULX5,ENSP00000454919
Q8NHV5,ENSP00000454926
Q9BSN7,ENSP00000454945
Q9BY12,ENSP00000454973
Q9UJJ7,ENSP00000455026
H3BNW8,ENSP00000455041
H3BNX3,ENSP00000455047
Q92536,ENSP00000455064
Q9UJH8,ENSP00000455068
H3BNZ7,ENSP00000455079
A6NKF7,ENSP00000455099
Q14137,ENSP00000455106
H3BP20,ENSP00000455114
Q9ULZ0,ENSP00000455132
H3BP45,ENSP00000455145
Q8NC67,ENSP00000455169
Q9Y653,ENSP00000455215
Q9NX74,ENSP00000455229
Q15572,ENSP00000455265
H3BPF8,ENSP00000455298
H3BPG6,ENSP00000455308
H3BPM6,ENSP00000455385
Q2M1K9,ENSP00000455426
P0DJH9,ENSP00000455434
A6NF83,ENSP00000455442
Q7RTU0,ENSP00000455444
A6NN92,ENSP00000455469
A6NGQ3,ENSP00000455507
H3BQ06,ENSP00000455547
H3BQ15,ENSP00000455561
H3BQ19,ENSP00000455566
P0CG23,ENSP00000455585
Q9ULZ0,ENSP00000455596
P15735,ENSP00000455607
A0A0A6YYL1,ENSP00000455643
H3BQB6,ENSP00000455698
Q9BWW7,ENSP00000455711
P0C6T2,ENSP00000455716
P0CG35,ENSP00000455771
Q8WZ19,ENSP00000455785
H3BQI1,ENSP00000455791
H3BQJ8,ENSP00000455811
H3BQK0,ENSP00000455813
H3BQL2,ENSP00000455826
Q6PEX7,ENSP00000455854
P22897,ENSP00000455897
E2RYF6,ENSP00000455906
H3BQW9,ENSP00000455971
Q9Y6N5,ENSP00000456019
H3BR10,ENSP00000456026
Q3ZCM7,ENSP00000456206
Q5JPH6,ENSP00000456218
Q7Z6L0,ENSP00000456226
Q6DHV7,ENSP00000456242
A6NLX4,ENSP00000456333
H3BRN8,ENSP00000456337
Q7L5Y6,ENSP00000456340
Q2NL67,ENSP00000456348
A6NMD2,ENSP00000456401
B4DUT8,ENSP00000456436
H3BS01,ENSP00000456477
Q8TEQ0,ENSP00000456480
Q96JG9,ENSP00000456500
A0A096LP49,ENSP00000456543
P0C7U0,ENSP00000456548
Q2KHN1,ENSP00000456566
H3BS89,ENSP00000456594
Q9BX79,ENSP00000456609
Q8N4N3,ENSP00000456743
Q9NXF8,ENSP00000456782
P0DJG4,ENSP00000456850
H3BST1,ENSP00000456851
Q6DHY5,ENSP00000456861
A0A075B734,ENSP00000456868
P0CJ92,ENSP00000456894
H3BSW6,ENSP00000456908
Q9HC57,ENSP00000456920
H3BSY2,ENSP00000456927
H3BUK9,ENSP00000456953
Q8N729,ENSP00000456974
H3BT17,ENSP00000456974
Q8NBZ0,ENSP00000457016
Q6P2D0,ENSP00000457044
Q5T011,ENSP00000457168
H3BTH8,ENSP00000457180
Q2T9L4,ENSP00000457205
Q6PJ21,ENSP00000457206
Q9NZC7,ENSP00000457230
B4DXD0,ENSP00000457241
O60936,ENSP00000457243
Q8N543,ENSP00000457258
Q9BV97,ENSP00000457274
A4GXA9,ENSP00000457353
Q6PRD7,ENSP00000457380
B2RUZ4,ENSP00000457386
O60268,ENSP00000457408
Q14694,ENSP00000457411
P16284,ENSP00000457421
Q86XT9,ENSP00000457492
H3BU77,ENSP00000457511
P13073,ENSP00000457513
Q0VD83,ENSP00000457539
D3DX86,ENSP00000457625
H3BUI4,ENSP00000457654
A0A0A6YYL3,ENSP00000457689
Q96S82,ENSP00000457703
A0A088AWK7,ENSP00000457704
P0CJ78,ENSP00000457715
H3BUN2,ENSP00000457718
Q15287,ENSP00000457723
A0A0B4J294,ENSP00000457728
Q6NUK1,ENSP00000457733
A5PLK6,ENSP00000457748
Q9NTJ4,ENSP00000457788
B7U540,ENSP00000457807
Q96BT3,ENSP00000457810
Q9BVC4,ENSP00000457870
H3BV12,ENSP00000457904
Q6ZVD8,ENSP00000457991
Q9BQS6,ENSP00000458018
A0A087WT04,ENSP00000458021
Q9UBX2,ENSP00000458065
H3BVE0,ENSP00000458075
P0DX53,ENSP00000458130
A0A0G2JP48,ENSP00000458130
P63261,ENSP00000458162
Q8N3J2,ENSP00000458290
Q0VD86,ENSP00000458316
Q9P225,ENSP00000458355
P40313,ENSP00000458537
Q9Y5G9,ENSP00000458570
P39900,ENSP00000458585
Q96RK0,ENSP00000458663
Q9HBL8,ENSP00000458762
O14561,ENSP00000458770
Q6DWJ6,ENSP00000458791
Q96SZ4,ENSP00000458879
I3L1J3,ENSP00000458879
Q99567,ENSP00000458954
Q9H4A9,ENSP00000458977
O75153,ENSP00000458986
Q9NRY6,ENSP00000459019
P58170,ENSP00000459028
A1A5D9,ENSP00000459043
Q96N58,ENSP00000459216
I3L273,ENSP00000459439
Q08AH3,ENSP00000459451
Q99732,ENSP00000459533
A6NM11,ENSP00000459551
Q96N20,ENSP00000459566
Q8NHS9,ENSP00000459580
O75044,ENSP00000459615
Q9ULH7,ENSP00000459626
Q13470,ENSP00000459799
Q9P2R3,ENSP00000459943
Q8NER1,ENSP00000459962
P78347,ENSP00000460070
Q9HCB6,ENSP00000460236
Q9Y5G4,ENSP00000460274
Q6P2Q9,ENSP00000460348
P35125,ENSP00000460380
I3L3H0,ENSP00000460437
Q9C000,ENSP00000460475
Q8TF47,ENSP00000460547
Q9H9K5,ENSP00000460602
I3L3R5,ENSP00000460665
O95476,ENSP00000460683
O75674,ENSP00000460823
Q658N2,ENSP00000460825
O76021,ENSP00000460871
A0A0A6YYL4,ENSP00000460885
I3L448,ENSP00000460964
Q05996,ENSP00000460971
Q96JF6,ENSP00000461032
Q6UWF3,ENSP00000461269
I3L4J1,ENSP00000461295
B4DLN1,ENSP00000461324
Q8N370,ENSP00000461382
Q8WZ82,ENSP00000461388
Q6ZN08,ENSP00000461425
I3L4Q0,ENSP00000461433
I3NI02,ENSP00000461784
Q12829,ENSP00000461785
I3NI25,ENSP00000461830
Q9Y5G1,ENSP00000461862
I3NI40,ENSP00000461865
P82921,ENSP00000461930
Q13636,ENSP00000461945
Q15762,ENSP00000461947
P0C851,ENSP00000462046
A6NM28,ENSP00000462054
Q8WWW0,ENSP00000462099
Q3B7S5,ENSP00000462106
Q9UHR5,ENSP00000462116
Q9P281,ENSP00000462154
Q15053,ENSP00000462172
J3KS16,ENSP00000462259
Q96MN9,ENSP00000462269
P0DPK4,ENSP00000462298
J3KS52,ENSP00000462309
Q8NFI3,ENSP00000462333
Q14119,ENSP00000462337
P59095,ENSP00000462349
P62805,ENSP00000462355
Q8WU58,ENSP00000462419
Q9BW30,ENSP00000462435
P07947,ENSP00000462468
Q9H3M7,ENSP00000462521
Q8N660,ENSP00000462600
P18509,ENSP00000462647
Q9UNA4,ENSP00000462664
P62805,ENSP00000462667
P55286,ENSP00000462701
Q9NWM3,ENSP00000462717
Q6GQQ9,ENSP00000462729
P0C7V8,ENSP00000462745
J3KT72,ENSP00000462835
J3KTA2,ENSP00000462879
Q68DK7,ENSP00000462945
Q96QE5,ENSP00000462963
J3KTH2,ENSP00000462980
Q96N06,ENSP00000462996
J3KTI2,ENSP00000462998
O95190,ENSP00000463013
Q13772,ENSP00000463027
H0Y354,ENSP00000463032
Q9UK05,ENSP00000463051
A0A0B4J2A2,ENSP00000463057
Q9Y5S9,ENSP00000463058
Q68DV7,ENSP00000463069
J3KTN9,ENSP00000463080
P08118,ENSP00000463092
P10745,ENSP00000463151
Q9BTT0,ENSP00000463154
Q8N9M1,ENSP00000463159
Q9Y675,ENSP00000463201
P0CB38,ENSP00000463233
Q9Y2Y6,ENSP00000463245
F8W7A7,ENSP00000463254
Q8TD94,ENSP00000463287
P28827,ENSP00000463325
A9UHW6,ENSP00000463334
P0DI80,ENSP00000463361
A6NKL6,ENSP00000463375
A0A0A6YYL6,ENSP00000463379
O75396,ENSP00000463393
A0A075B759,ENSP00000463419
Q9H252,ENSP00000463533
O14950,ENSP00000463559
Q9NPH0,ENSP00000463574
Q9Y4L5,ENSP00000463650
A6NFN3,ENSP00000463653
Q8N144,ENSP00000463752
Q8NA31,ENSP00000463762
Q14500,ENSP00000463778
P61254,ENSP00000463784
P18621,ENSP00000463842
J3QQX2,ENSP00000463939
Q6P3W6,ENSP00000463957
O15427,ENSP00000463978
J3QR06,ENSP00000463981
J3QR07,ENSP00000463982
Q9UKF7,ENSP00000464006
Q14164,ENSP00000464030
P21127,ENSP00000464036
Q86XP3,ENSP00000464050
A0A0A0MTR7,ENSP00000464087
Q2V6Q1,ENSP00000464121
P55107,ENSP00000464145
Q9C091,ENSP00000464162
J3QRE1,ENSP00000464167
J3QRH5,ENSP00000464215
Q9HBT8,ENSP00000464218
Q3KQZ1,ENSP00000464231
Q6RSH7,ENSP00000464258
Q9HAS0,ENSP00000464275
P11055,ENSP00000464317
Q68DL7,ENSP00000464330
Q9Y3U8,ENSP00000464342
J3QRS1,ENSP00000464357
J3QRS3,ENSP00000464359
L7N2F9,ENSP00000464383
Q6ZSZ6,ENSP00000464391
Q8IY31,ENSP00000464443
J3QS41,ENSP00000464512
O14925,ENSP00000464522
O60309,ENSP00000464535
A0A075B767,ENSP00000464619
Q86W34,ENSP00000464635
Q68CL5,ENSP00000464780
K7EIK6,ENSP00000464788
P61353,ENSP00000464813
Q13057,ENSP00000464814
P04632,ENSP00000464849
Q8TB69,ENSP00000464872
Q9C0B0,ENSP00000464893
O43934,ENSP00000464932
K7EIZ3,ENSP00000464955
A8MQ14,ENSP00000464976
Q92918,ENSP00000465039
Q8NBT2,ENSP00000465075
O15446,ENSP00000465099
Q6ZR64,ENSP00000465103
Q9NYT6,ENSP00000465121
Q96FF7,ENSP00000465157
Q8N815,ENSP00000465204
K7EJK4,ENSP00000465212
O95707,ENSP00000465213
H8Y6P7,ENSP00000465231
Q8N350,ENSP00000465260
Q7Z403,ENSP00000465261
P02654,ENSP00000465356
O95049,ENSP00000465419
Q9UNZ5,ENSP00000465432
Q9Y6Q6,ENSP00000465500
Q32NC0,ENSP00000465517
Q6P280,ENSP00000465578
Q5FVE4,ENSP00000465589
Q9BTL4,ENSP00000465617
K7EKI0,ENSP00000465630
Q9NV29,ENSP00000465638
O75928,ENSP00000465676
Q9Y6Q5,ENSP00000465685
Q8WW14,ENSP00000465712
P36021,ENSP00000465734
Q9BWC9,ENSP00000465757
O00411,ENSP00000465759
P60002,ENSP00000465765
A0A024R7E8,ENSP00000465765
P13994,ENSP00000465776
Q53F39,ENSP00000465894
A8MUP6,ENSP00000465978
Q86Y91,ENSP00000465992
P01298,ENSP00000466009
K7ELC2,ENSP00000466010
P53567,ENSP00000466022
D6W5Y5,ENSP00000466025
Q9P0T4,ENSP00000466047
Q494X3,ENSP00000466051
Q6UX82,ENSP00000466070
A6NJL1,ENSP00000466072
P08246,ENSP00000466090
O43148,ENSP00000466111
Q9BTP7,ENSP00000466121
K7ELL7,ENSP00000466134
K7ELM3,ENSP00000466140
K7ELQ4,ENSP00000466174
O14737,ENSP00000466214
P53396,ENSP00000466259
P59045,ENSP00000466285
O60499,ENSP00000466298
O60331,ENSP00000466363
O43681,ENSP00000466379
O75771,ENSP00000466399
Q9BXA6,ENSP00000466477
Q96N95,ENSP00000466500
K7EMI3,ENSP00000466514
K7EMK7,ENSP00000466542
Q2WEN9,ENSP00000466561
K7EMT4,ENSP00000466639
Q8IWA5,ENSP00000466664
P52198,ENSP00000466680
Q9H2F9,ENSP00000466690
Q3MHD2,ENSP00000466718
P02655,ENSP00000466775
P14854,ENSP00000466818
K7EN84,ENSP00000466829
K7EN88,ENSP00000466834
Q92947,ENSP00000466845
Q11128,ENSP00000466880
Q96GM1,ENSP00000466898
Q96C55,ENSP00000466907
Q2V2M9,ENSP00000466937
A6NIX2,ENSP00000466953
Q9NXH9,ENSP00000466967
P54725,ENSP00000467024
K7ENP7,ENSP00000467041
Q6ZS11,ENSP00000467107
Q8WX94,ENSP00000467123
Q8WZ42,ENSP00000467141
P13805,ENSP00000467176
P36383,ENSP00000467201
K7EP39,ENSP00000467218
O14957,ENSP00000467262
Q6YFQ2,ENSP00000467266
O94911,ENSP00000467271
F5H0A9,ENSP00000467286
Q9H3T3,ENSP00000467290
Q8NGA8,ENSP00000467301
Q15424,ENSP00000467423
P48546,ENSP00000467494
Q13332,ENSP00000467537
Q9UKJ3,ENSP00000467556
Q969T9,ENSP00000467579
O43760,ENSP00000467600
Q00LT1,ENSP00000467661
Q32M78,ENSP00000467723
A6NC57,ENSP00000467740
P0C6S8,ENSP00000467753
Q8IYS8,ENSP00000467843
Q8TAF7,ENSP00000467931
K7EQS6,ENSP00000467958
Q63ZY3,ENSP00000468002
Q96IK0,ENSP00000468025
Q6SZW1,ENSP00000468032
K7EQZ3,ENSP00000468040
Q8IZC7,ENSP00000468049
P33032,ENSP00000468086
A0A0A0MTT2,ENSP00000468153
P0C7I6,ENSP00000468232
P55056,ENSP00000468236
K7ERG9,ENSP00000468253
K7ERI5,ENSP00000468271
K7ERJ3,ENSP00000468280
Q05BQ5,ENSP00000468304
Q96MK3,ENSP00000468308
O95834,ENSP00000468312
P52564,ENSP00000468348
Q8N6D5,ENSP00000468354
K7ERQ8,ENSP00000468367
Q496M5,ENSP00000468376
Q9NZ42,ENSP00000468411
P30419,ENSP00000468424
K7ERV3,ENSP00000468425
Q9H6U6,ENSP00000468592
Q9BY50,ENSP00000468633
P58317,ENSP00000468643
Q7Z736,ENSP00000468678
K7ESF4,ENSP00000468690
O75346,ENSP00000468720
A0A140TA86,ENSP00000468723
A1YPR0,ENSP00000468782
Q9UIS9,ENSP00000468785
M0QX08,ENSP00000468837
P25090,ENSP00000468897
Q9UGK3,ENSP00000468927
Q8TAC2,ENSP00000468956
Q9Y284,ENSP00000468969
Q5H9E4,ENSP00000468980
O60224,ENSP00000469011
M0QXB4,ENSP00000469035
O43557,ENSP00000469049
Q99742,ENSP00000469142
Q9NRA0,ENSP00000469158
P54852,ENSP00000469194
Q9UBD0,ENSP00000469223
O43633,ENSP00000469240
Q9H254,ENSP00000469242
Q8NDB6,ENSP00000469248
Q9H2R5,ENSP00000469315
Q9UN88,ENSP00000469332
Q05C16,ENSP00000469337
Q86XU0,ENSP00000469391
O60224,ENSP00000469394
O96013,ENSP00000469413
Q9UKQ9,ENSP00000469417
P78358,ENSP00000469441
Q9UL41,ENSP00000469445
P34130,ENSP00000469455
Q9Y4Z0,ENSP00000469468
Q9NQR7,ENSP00000469474
A6NN14,ENSP00000469582
Q5EBL2,ENSP00000469591
P49771,ENSP00000469613
Q96KS0,ENSP00000469686
Q08493,ENSP00000469696
Q3SXY7,ENSP00000469759
M0QYG6,ENSP00000469811
